category_path,product_count,avg_base_price,products_with_images,products_with_videos,sample_tags
Health & Wellness > Vitamins & Supplements,1,354.0,1,1,"wellness, vitamins, supplements, garnier, skin, naturals, vitamin, booster, serum, 30ml"
Home & Living > Furniture > Bedroom Furniture,1,452.0,1,0,"living, furniture, bedroom furniture, sheet, tucker, tucking, paddle, bedsheet, change, making"
Home Decor > Islamic Decor,1,1153.0,1,1,"home decor, islamic decor, wall art, photo tiles, photo, tiles, sets, transform, walls, frames"
Islamic & Cultural > Islamic Essentials > Prayer Mats (Velvet),1,478.0,1,1,"islamic, cultural, islamic essentials, prayer mats (velvet), prayer, velvet, pattern, travel, friendly, educational"
Men's Fashion > Perfumes,1,872.0,1,1,"men's fashion, perfumes, naughty, mist, perfume, lasting, unisex, fragrance, spray, fresh"
Mobile & Accessories > Chargers & Power Banks,1,1603.0,1,1,"mobile, chargers, power banks, speed, router, power, bank, backup, battery, wifi"
Motorbike Accessories > Covers,1,1392.0,1,0,"motorbike accessories, covers, back, seat, coat, hanger, clothes, neat, organized, easily"
Oils & Lubricants > Brake Fluid,1,761.0,1,1,"oils, lubricants, brake fluid, three, guys, antifreeze, coolant, blue, grade, hoat"
Paint & Renovation > Paints & Brushes,1,2867.0,1,0,"paint, renovation, paints, brushes, roller, pattern, textured, decoration, helps, create"
Personal Care > Oral Care (Toothpaste),1,298.0,1,0,"personal care, oral care (toothpaste), dazzling, white, instant, teeth, whitening, professional, strength, formula"
Pets & Animals,1,2867.0,1,0,"pets, animals, electric, comb, hair, cleaning, drive, away, lice, fleas"
Travel Accessories > Locks,1,122.0,1,0,"travel accessories, locks, child, safety, lock, reliable, performance, installation, effective, protection"
